FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
7/10/2024,20,5,-99,27,-99,-99,-99,-99,13,-99,-99,7,-99,-99,-99,-99,-99,-99
7/10/2024,21,9,-99,24,-99,-99,-99,-99,7,-99,-99,14,-99,-99,-99,-99,-99,-99
7/10/2024,22,7,-99,19,-99,-99,-99,-99,7,-99,-99,10,-99,-99,-99,27,-99,-99
7/10/2024,23,4,-99,17,-99,-99,-99,-99,12,-99,-99,7,-99,-99,-99,21,-99,-99
7/10/2024,24,4,-99,12,-99,-99,-99,-99,13,-99,-99,8,-99,-99,-99,13,-99,-99
8/10/2024,1,7,-99,10,-99,-99,-99,-99,10,-99,-99,7,-99,-99,-99,15,-99,-99
8/10/2024,2,7,-99,11,-99,-99,-99,-99,12,-99,-99,6,-99,-99,-99,12,-99,-99
8/10/2024,3,6,-99,9,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,12,-99,-99
8/10/2024,4,6,-99,6,-99,-99,-99,-99,4,-99,-99,9,-99,-99,-99,10,-99,-99
8/10/2024,5,4,-99,6,-99,-99,-99,-99,5,-99,-99,13,-99,-99,-99,17,-99,-99
8/10/2024,6,5,-99,7,-99,-99,-99,-99,5,-99,-99,13,-99,-99,-99,23,-99,-99
8/10/2024,7,6,-99,12,-99,-99,-99,-99,7,-99,-99,12,-99,-99,-99,24,-99,-99
8/10/2024,8,7,-99,17,-99,-99,-99,-99,11,-99,-99,12,-99,-99,-99,36,-99,-99
8/10/2024,9,9,-99,17,-99,-99,-99,-99,16,-99,-99,14,-99,-99,-99,33,-99,-99
8/10/2024,10,9,-99,16,-99,-99,-99,-99,16,-99,-99,12,-99,-99,-99,27,-99,-99
8/10/2024,11,6,-99,15,-99,-99,-99,-99,16,-99,-99,8,-99,-99,-99,20,-99,-99
8/10/2024,12,4,-99,22,-99,-99,-99,-99,18,-99,-99,6,-99,-99,-99,37,-99,-99
8/10/2024,13,6,-99,21,-99,-99,-99,-99,20,-99,-99,7,-99,-99,-99,34,-99,-99
8/10/2024,14,7,-99,25,-99,-99,-99,-99,16,-99,-99,9,-99,-99,-99,29,-99,-99
8/10/2024,15,7,-99,26,-99,-99,-99,-99,18,-99,-99,12,-99,-99,-99,30,-99,-99
8/10/2024,16,12,-99,26,-99,-99,-99,-99,19,-99,-99,20,-99,-99,-99,25,-99,-99
8/10/2024,17,19,-99,25,-99,-99,-99,-99,20,-99,-99,18,-99,-99,-99,25,-99,-99
8/10/2024,18,18,-99,30,-99,-99,-99,-99,22,-99,-99,18,-99,-99,-99,27,-99,-99
8/10/2024,19,12,-99,37,-99,-99,-99,-99,20,-99,-99,14,-99,-99,-99,-99,-99,-99
8/10/2024,20,8,-99,32,-99,-99,-99,-99,18,-99,-99,8,-99,-99,-99,-99,-99,-99
8/10/2024,21,8,-99,19,-99,-99,-99,-99,14,-99,-99,10,-99,-99,-99,-99,-99,-99
8/10/2024,22,8,-99,19,-99,-99,-99,-99,15,-99,-99,10,-99,-99,-99,-99,-99,-99
8/10/2024,23,10,-99,19,-99,-99,-99,-99,14,-99,-99,12,-99,-99,-99,27,-99,-99
